"","word","modality","avg_expressibility_norm","n","diff_expr","diff_rank"
"560","weten","multimodal",0.5856241655,100,0.229244785928571,41
"561","weten","vocal",0.356379379571429,64,0.229244785928571,41
"562","wie","gesture",0.365836790568182,157,0.205932164909091,45
"563","wie","multimodal",0.4472515775,147,0.205932164909091,45
"564","wie","vocal",0.241319412590909,112,0.205932164909091,45
"565","wijd","gesture",0.606612169142857,79,0.472766897033333,61
"566","wijd","multimodal",0.683220292333333,67,0.472766897033333,61
"567","wijd","vocal",0.2104533953,128,0.472766897033333,61
"568","wind","gesture",0.501434208523809,118,0.16641392265119,91
"569","wind","multimodal",0.667848131175,74,0.16641392265119,91
"570","wind","vocal",0.648023062452381,27,0.16641392265119,91
"571","wit","gesture",0.141376686375,203,0.0516705370059524,60
"572","wit","multimodal",0.189304756789474,201,0.0516705370059524,60
"573","wit","vocal",0.193047223380952,143,0.0516705370059524,60
"574","wortel","gesture",0.367954720825,154,0.134192155884091,70
"575","wortel","multimodal",0.418655686409091,153,0.134192155884091,70
"576","wortel","vocal",0.284463530525,84,0.134192155884091,70
"577","zand","gesture",0.248501341818182,183,0.124355593468672,26
"578","zand","multimodal",0.304058518047619,177,0.124355593468672,26
"579","zand","vocal",0.179702924578947,157,0.124355593468672,26
"580","zeggen","gesture",0.422355763333333,135,0.157610520641667,93
"581","zeggen","multimodal",0.579966283975,102,0.157610520641667,93
"582","zeggen","vocal",0.4787540185,42,0.157610520641667,93
"583","ziek","gesture",0.6759707715,60,0.178914442795739,27
"584","ziek","multimodal",0.736802865105263,53,0.178914442795739,27
"585","ziek","vocal",0.557888422309524,33,0.178914442795739,27
"586","zien","gesture",0.7822454537,35,0.632433733116667,146
"587","zien","multimodal",0.753904678675,49,0.632433733116667,146
"588","zien","vocal",0.149811720583333,181,0.632433733116667,146
"589","zij","gesture",0.37806358155,150,0.239084642072727,36
"590","zij","multimodal",0.300785076166667,179,0.239084642072727,36
"591","zij","vocal",0.138978939477273,186,0.239084642072727,36
"592","zoemen","gesture",0.223637129761905,188,0.570669053,177
"593","zoemen","multimodal",0.794306182761905,42,0.570669053,177
"594","zoemen","vocal",0.778294208,11,0.570669053,177
"595","zoet","gesture",0.220601971386364,192,0.0789429290386363,92
"596","zoet","multimodal",0.299544900425,180,0.0789429290386363,92
"597","zoet","vocal",0.264940883590909,100,0.0789429290386363,92
"598","zout","gesture",0.267719166547619,179,0.166791883785714,12
"599","zout","multimodal",0.301591508642857,178,0.166791883785714,12
"600","zout","vocal",0.134799624857143,190,0.166791883785714,12
"601","zuigen","gesture",0.650569882214286,67,0.0577758364523809,50
"602","zuigen","multimodal",0.676725582785714,70,0.0577758364523809,50
"603","zuigen","vocal",0.708345718666667,20,0.0577758364523809,50
"604","zuur","gesture",0.57714742825,86,0.19949963325,49
"605","zuur","multimodal",0.546773542568182,110,0.19949963325,49
"606","zuur","vocal",0.377647795,61,0.19949963325,49
"607","zwaar","gesture",0.719214818863636,49,0.334371481754941,14
"608","zwaar","multimodal",0.702816511595238,63,0.334371481754941,14
"609","zwaar","vocal",0.384843337108696,59,0.334371481754941,14
"610","zwak","gesture",0.391934068619048,146,0.251878342409357,22
"611","zwak","multimodal",0.468548925631579,136,0.251878342409357,22
"612","zwak","vocal",0.216670583222222,124,0.251878342409357,22
"613","zwart","gesture",0.242019624131579,185,0.149215611941103,16
"614","zwart","multimodal",0.217329126973684,196,0.149215611941103,16
"615","zwart","vocal",0.0928040121904762,201,0.149215611941103,16
"616","zwemmen","gesture",0.865550878595238,12,0.567609789395238,66
"617","zwemmen","multimodal",0.839652423325,18,0.567609789395238,66
"618","zwemmen","vocal",0.2979410892,78,0.567609789395238,66
