"","word","modality","avg_expressibility_norm","n","diff_expr","diff_rank"
"289","lopen","gesture",0.856217997175,16,0.612526673357143,81
"290","lopen","multimodal",0.905160979071429,1,0.612526673357143,81
"291","lopen","vocal",0.292634305714286,82,0.612526673357143,81
"292","lucht","gesture",0.39548146425,145,0.103088372928571,89
"293","lucht","multimodal",0.493853530380952,124,0.103088372928571,89
"294","lucht","vocal",0.390765157452381,56,0.103088372928571,89
"295","luidruchtig","gesture",0.625635216840909,75,0.0247257054318182,60
"296","luidruchtig","multimodal",0.610711817775,89,0.0247257054318182,60
"297","luidruchtig","vocal",0.600909511409091,29,0.0247257054318182,60
"298","luis","gesture",0.416853400078947,139,0.1593328584599,58
"299","luis","multimodal",0.39691396975,161,0.1593328584599,58
"300","luis","vocal",0.257520541619048,103,0.1593328584599,58
"301","maken","gesture",0.256245906105263,181,0.205610936590909,22
"302","maken","multimodal",0.310729416727273,176,0.205610936590909,22
"303","maken","vocal",0.105118480136364,198,0.205610936590909,22
"304","man","gesture",0.615252117125,76,0.208270404458333,59
"305","man","multimodal",0.541119853368421,111,0.208270404458333,59
"306","man","vocal",0.406981712666667,52,0.208270404458333,59
"307","mier","gesture",0.288793488022727,174,0.182659330786967,22
"308","mier","multimodal",0.29478561452381,184,0.182659330786967,22
"309","mier","vocal",0.112126283736842,196,0.182659330786967,22
"310","misschien","gesture",0.506827946452381,112,0.326170335952381,15
"311","misschien","multimodal",0.595108398119048,97,0.326170335952381,15
"312","misschien","vocal",0.268938062166667,97,0.326170335952381,15
"313","mond","gesture",0.469249940409091,128,0.263221399223809,8
"314","mond","multimodal",0.4944656952,123,0.263221399223809,8
"315","mond","vocal",0.23124429597619,120,0.263221399223809,8
"316","naam","gesture",0.250104947681818,182,0.0363894630909091,69
"317","naam","multimodal",0.22436385805,195,0.0363894630909091,69
"318","naam","vocal",0.213715484590909,126,0.0363894630909091,69
"319","nacht","gesture",0.383592642238095,148,0.180904101429842,69
"320","nacht","multimodal",0.474487918043478,134,0.180904101429842,69
"321","nacht","vocal",0.293583816613636,79,0.180904101429842,69
"322","nat","gesture",0.402162059875,144,0.17188111814411,61
"323","nat","multimodal",0.461953944880952,141,0.17188111814411,61
"324","nat","vocal",0.290072826736842,83,0.17188111814411,61
"325","navel","gesture",0.55404773252381,93,0.438859264285714,101
"326","navel","multimodal",0.297362881666667,181,0.438859264285714,101
"327","navel","vocal",0.115188468238095,194,0.438859264285714,101
"328","nek","gesture",0.52762462075,106,0.338825503321429,42
"329","nek","multimodal",0.48132959097619,131,0.338825503321429,42
"330","nek","vocal",0.188799117428571,148,0.338825503321429,42
"331","nemen","gesture",0.315553066075,166,0.292409238261364,39
"332","nemen","multimodal",0.426177529875,152,0.292409238261364,39
"333","nemen","vocal",0.133768291613636,191,0.292409238261364,39
"334","neus","gesture",0.495559833294118,120,0.238082923862299,29
"335","neus","multimodal",0.475535162078947,133,0.238082923862299,29
"336","neus","vocal",0.257476909431818,104,0.238082923862299,29
"337","niet","gesture",0.541643969931818,99,0.267942755395455,26
"338","niet","multimodal",0.5778887846,103,0.267942755395455,26
"339","niet","vocal",0.309946029204545,77,0.267942755395455,26
"340","nieuw","gesture",0.219197858394737,193,0.082048700477381,22
"341","nieuw","multimodal",0.250010167452381,193,0.082048700477381,22
"342","nieuw","vocal",0.167961466975,171,0.082048700477381,22
"343","nu","gesture",0.588575936642857,82,0.349242029452381,32
"344","nu","multimodal",0.576707373526316,104,0.349242029452381,32
"345","nu","vocal",0.239333907190476,114,0.349242029452381,32
"346","onweer","gesture",0.29516289275,173,0.30739243525,138
"347","onweer","multimodal",0.602555328,93,0.30739243525,138
"348","onweer","vocal",0.537121484857143,35,0.30739243525,138
"349","oog","gesture",0.707316188047619,52,0.511738071476191,88
"350","oog","multimodal",0.626292113025,84,0.511738071476191,88
"351","oog","vocal",0.195578116571429,140,0.511738071476191,88
"352","oor","gesture",0.519500756694444,109,0.332129890002506,13
"353","oor","multimodal",0.596090157026316,96,0.332129890002506,13
"354","oor","vocal",0.26396026702381,101,0.332129890002506,13
"355","oud","gesture",0.536588216789474,102,0.295730626925,26
"356","oud","multimodal",0.606782441925,90,0.295730626925,26
"357","oud","vocal",0.311051815,76,0.295730626925,26
"358","piepen","gesture",0.182083555795455,200,0.622752747529545,191
"359","piepen","multimodal",0.637795083710526,81,0.622752747529545,191
"360","piepen","vocal",0.804836303325,9,0.622752747529545,191
"361","regen","gesture",0.759025999,40,0.262564189954545,25
"362","regen","multimodal",0.698805734125,65,0.262564189954545,25
"363","regen","vocal",0.496461809045455,41,0.262564189954545,25
"364","rennen","gesture",0.86831635665,11,0.589669136325,76
"365","rennen","multimodal",0.8827717476,5,0.589669136325,76
"366","rennen","vocal",0.293102611275,81,0.589669136325,76
"367","rivier","gesture",0.360690166583333,159,0.158208022098485,111
"368","rivier","multimodal",0.518898188681818,115,0.158208022098485,111
"369","rivier","vocal",0.4220826802,48,0.158208022098485,111
"370","rond","gesture",0.823487158052632,25,0.644500824396825,119
"371","rond","multimodal",0.846744544611111,15,0.644500824396825,119
"372","rond","vocal",0.202243720214286,134,0.644500824396825,119
"373","rood","gesture",0.153790212125,202,0.091219083425,1
"374","rood","multimodal",0.1785043907,203,0.091219083425,1
"375","rood","vocal",0.087285307275,203,0.091219083425,1
"376","rook","gesture",0.477593018675,126,0.20422746701875,46
"377","rook","multimodal",0.464509348136364,139,0.20422746701875,46
"378","rook","vocal",0.27336555165625,93,0.20422746701875,46
"379","rots","gesture",0.310504062068182,169,0.0979997092305556,50
"380","rots","multimodal",0.323427662675,171,0.0979997092305556,50
"381","rots","vocal",0.225427953444444,121,0.0979997092305556,50
"382","rug","gesture",0.503363728421053,115,0.341328112246053,61
"383","rug","multimodal",0.469794824052632,135,0.341328112246053,61
"384","rug","vocal",0.162035616175,176,0.341328112246053,61
"385","ruiken","gesture",0.786070698261905,34,0.301198872909091,7
"386","ruiken","multimodal",0.808054065522727,33,0.301198872909091,7
"387","ruiken","vocal",0.506855192613636,40,0.301198872909091,7
"388","ruw","gesture",0.314207016522727,168,0.0790929926746411,62
"389","ruw","multimodal",0.320762140727273,173,0.0790929926746411,62
"390","ruw","vocal",0.241669148052632,111,0.0790929926746411,62
"391","schaduw","gesture",0.323413066476191,164,0.167708976126191,26
"392","schaduw","multimodal",0.284095204825,190,0.167708976126191,26
"393","schaduw","vocal",0.15570409035,178,0.167708976126191,26
"394","scherp","gesture",0.47453913625,127,0.280593661346429,41
"395","scherp","multimodal",0.561736192775,107,0.280593661346429,41
"396","scherp","vocal",0.281142531428571,86,0.280593661346429,41
"397","slaan","gesture",0.81556136585,27,0.228612013125,5
"398","slaan","multimodal",0.819213649525,26,0.228612013125,5
"399","slaan","vocal",0.5906016364,31,0.228612013125,5
"400","slang","gesture",0.742725820227273,42,0.113342701351675,32
"401","slang","multimodal",0.856068521578947,11,0.113342701351675,32
"402","slang","vocal",0.790558248227273,10,0.113342701351675,32
"403","slapen","gesture",0.900885423625,3,0.158929461696429,15
"404","slapen","multimodal",0.888337541717391,2,0.158929461696429,15
"405","slapen","vocal",0.741955961928571,17,0.158929461696429,15
"406","slecht","gesture",0.584860419525,84,0.27307786565,62
"407","slecht","multimodal",0.467818231261905,137,0.27307786565,62
"408","slecht","vocal",0.311782553875,75,0.27307786565,62
"409","smaak","gesture",0.36642287255,156,0.116601107713158,112
"410","smaak","multimodal",0.483023980263158,130,0.116601107713158,112
"411","smaak","vocal",0.463444052547619,44,0.116601107713158,112
"412","snel","gesture",0.733849599375,46,0.26890496515119,12
"413","snel","multimodal",0.73536560697619,55,0.26890496515119,12
"414","snel","vocal",0.466460641825,43,0.26890496515119,12
"415","sommige","gesture",0.179676893714286,201,0.0985214875029644,2
"416","sommige","multimodal",0.202917747068182,199,0.0985214875029644,2
"417","sommige","vocal",0.104396259565217,199,0.0985214875029644,2
"418","springen","gesture",0.890809787631579,4,0.553339397831579,64
"419","springen","multimodal",0.848408020761905,14,0.553339397831579,64
"420","springen","vocal",0.3374703898,68,0.553339397831579,64
"421","staan","gesture",0.636626407525,70,0.368332756551316,35
"422","staan","multimodal",0.575173470595238,105,0.368332756551316,35
"423","staan","vocal",0.268293650973684,98,0.368332756551316,35
"424","staart","gesture",0.633169069704545,71,0.428145428514069,61
"425","staart","multimodal",0.629812043386364,82,0.428145428514069,61
"426","staart","vocal",0.205023641190476,132,0.428145428514069,61
"427","steen","gesture",0.334485241047619,163,0.208890249256818,20
"428","steen","multimodal",0.357337242325,167,0.208890249256818,20
"429","steen","vocal",0.148446993068182,183,0.208890249256818,20
"430","ster","gesture",0.566213678452381,90,0.45444332455,78
"431","ster","multimodal",0.6284561134,83,0.45444332455,78
"432","ster","vocal",0.17401278885,161,0.45444332455,78
"433","sterk","gesture",0.851132840642857,17,0.493777523187799,53
"434","sterk","multimodal",0.883493228977273,4,0.493777523187799,53
"435","sterk","vocal",0.389715705789474,57,0.493777523187799,53
"436","stil","gesture",0.860533338928571,15,0.129561105166667,4
"437","stil","multimodal",0.838001605545455,19,0.129561105166667,4
"438","stil","vocal",0.730972233761905,18,0.129561105166667,4
"439","strak","gesture",0.369679767973684,152,0.288490152645363,24
"440","strak","multimodal",0.483771237526316,128,0.288490152645363,24
"441","strak","vocal",0.195281084880952,142,0.288490152645363,24
"442","tand","gesture",0.453965481105263,130,0.225289177004762,67
"443","tand","multimodal",0.600488475904762,94,0.225289177004762,67
"444","tand","vocal",0.3751992989,63,0.225289177004762,67
"445","toekomst","gesture",0.272899407619048,176,0.146603073329574,7
"446","toekomst","multimodal",0.296128451710526,183,0.146603073329574,7
"447","toekomst","vocal",0.149525378380952,182,0.146603073329574,7
"448","tong","gesture",0.65823649935,63,0.283637803660714,14
"449","tong","multimodal",0.704967083285714,62,0.283637803660714,14
"450","tong","vocal",0.421329279625,49,0.283637803660714,14
"451","touw","gesture",0.505128385,113,0.34963432885,66
"452","touw","multimodal",0.413361666075,154,0.34963432885,66
"453","touw","vocal",0.15549405615,179,0.34963432885,66
"454","uit","gesture",0.353276246659091,160,0.216571989894385,28
