"word","modality","expressibility","SemanticCat","PoS","response_time","trial_start_time","end_time","duration","exp_ID","age","gender","natlang1","natlang2","natlang3","dialect","lang1","proficiency1","lang2","proficiency2","lang3","proficiency3","lang4","proficiency4","lang5","proficiency5","country","education","dyslexia","mobility","currentloc","sensorypref","file"
"aanraken","multimodal",0.55,"sensory","noun",7.1297,262.5081,873.6193,611.1112,"509232",43,1,"nederlands",NA,NA,NA,"engels",3,"duits",2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"5","509232_flesh_expressibility_dutch.csv"
"aanraken","gesture",-0.495918367,"sensory","noun",1.524,122.508,288.985,166.477,"628540",19,1,"nederlands",NA,NA,NA,"engels",3,NA,2,NA,0,NA,0,NA,0,"BE",3,2,2,1,"1","628540_flesh_expressibility_dutch.csv"
"aanraken","vocal",-0.738081597,"sensory","noun",8.6542,210.537399999976,668.367299999952,457.829899999976,"840072",19,2,"nederlands",NA,NA,NA,"engels",2,"frans",2,NA,0,NA,0,NA,0,"NL",6,2,2,5,"5","840072_flesh_expressibility_dutch.csv"
"aanraken","gesture",-0.404973357,"sensory","noun",4.7475,175.400200000001,564.010399999998,388.610199999997,"635208",20,2,"nederlands",NA,NA,NA,"engels",3,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,5,"14","635208_flesh_expressibility_dutch.csv"
"aanraken","multimodal",-0.127777778,"sensory","noun",5.5046,202.330299999237,953.348699999809,751.018400000572,"655768",19,1,"nederlands",NA,NA,NA,"engels",2,"duits",2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"5","655768_flesh_expressibility_dutch.csv"
"aanraken","multimodal",0.856521739,"sensory","noun",4.19,172.987,600.541,427.554,"383008",18,1,"nederlands",NA,NA,NA,"engels",0,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,4,"1","383008_flesh_expressibility_dutch.csv"
"aarde","vocal",-0.982039931,"environment","noun",2.4907,169.846,575.584299999952,405.738299999952,"845660",19,1,"nederlands",NA,NA,NA,"engels",1,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"2","845660_flesh_expressibility_dutch.csv"
"aarde","multimodal",-0.538888889,"environment","noun",6.4356,150.079799999997,993.064700000003,842.984900000006,"18102",18,1,"nederlands",NA,NA,NA,"engels",0,"duits",2,NA,0,NA,0,NA,0,"NL",2,1,2,1,"14","018102_flesh_expressibility_dutch.csv"
"aarde","vocal",-0.787036981,"environment","noun",5.5019,150.079799999997,993.064700000003,842.984900000006,"18102",18,1,"nederlands",NA,NA,NA,"engels",0,"duits",2,NA,0,NA,0,NA,0,"NL",2,1,2,1,"14","018102_flesh_expressibility_dutch.csv"
"aarde","vocal",-0.266666695,"environment","noun",2.6707,142.748800000012,563.9815,421.232699999988,"242298",18,2,"nederlands",NA,NA,NA,"engels",3,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"2","242298_flesh_expressibility_dutch.csv"
"aarde","vocal",-0.387550777,"environment","noun",3.8579,147.489099999994,624.621699999988,477.132599999994,"115296",18,2,"nederlands",NA,NA,NA,"engels",2,"duits",2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"5","115296_flesh_expressibility_dutch.csv"
"aarde","multimodal",-0.255555471,"environment","noun",3.4724,186.278,552.003600000024,365.725600000024,"319675",22,1,"nederlands",NA,NA,NA,"engels",2,"duits",2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"5","319675_flesh_expressibility_dutch.csv"
"aarde","gesture",-0.144444444,"environment","noun",2.1053,83.8192999999971,395.422200000003,311.602900000006,"60726",18,1,"nederlands",NA,NA,NA,"engels",2,"frans",2,"duits",1,NA,0,NA,0,"NL",2,2,2,1,"5","060726_flesh_expressibility_dutch.csv"
"aarde","gesture",0.186440972,"environment","noun",11.808,136.617400000095,502.754700000048,366.137299999952,"795483",18,1,"nederlands",NA,NA,NA,"engels",1,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"11","795483_flesh_expressibility_dutch.csv"
"aarde","gesture",0.229629686,"environment","noun",4.425299999,139.740600000381,454.817100000381,315.0765,"402696",19,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"5","402696_flesh_expressibility_dutch.csv"
"aarde","vocal",-0.911666641,"environment","noun",2.9187,139.6885,476.008700000003,336.320200000003,"784091",18,1,"nederlands",NA,NA,NA,"engels",0,"duits",2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"5","784091_flesh_expressibility_dutch.csv"
"aarde","multimodal",0.445652174,"environment","noun",14.019,172.088,747.671,575.583,"438623",18,1,"nederlands",NA,NA,NA,NA,0,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"2","438623_flesh_expressibility_dutch.csv"
"aarde","gesture",-0.736956522,"environment","noun",2.535,58.429,436.386,377.957,"26318",18,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"5","026318_flesh_expressibility_dutch.csv"
"aarde","gesture",0.16851849,"environment","noun",3.4163,219.846799999997,587.231599999994,367.384799999997,"924244",18,1,"nederlands",NA,NA,NA,"engels",3,"duits",2,"frans",1,NA,0,NA,0,"NL",3,2,2,1,"14","924244_flesh_expressibility_dutch.csv"
"aarde","gesture",-0.572838542,"environment","noun",3.0228,94.3536000000089,301.649699999988,207.296099999979,"778018",20,2,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",3,2,2,5,"1","778018_flesh_expressibility_dutch.csv"
"aarde","gesture",-0.39444436,"environment","noun",5.0321,186.530300000072,579.918300000072,393.388,"171634",23,1,"nederlands",NA,NA,NA,"engels",0,NA,2,NA,0,NA,0,NA,0,"NL",4,2,2,1,"2","171634_flesh_expressibility_dutch.csv"
"aarde","gesture",-0.293333333,"environment","noun",3.103,169.634,605.949,436.315,"257220",42,2,"nederlands",NA,NA,"limburgs","engels",2,"duits",2,NA,0,"zweeds",0,NA,0,"NL",3,2,2,1,"5","257220_flesh_expressibility_dutch.csv"
"aarde","multimodal",-0.014767323,"environment","noun",5.6076,191.107799999952,984.0435,792.935700000048,"785142",19,1,"nederlands",NA,NA,NA,"engels",1,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"1","785142_flesh_expressibility_dutch.csv"
"aarde","vocal",-0.911111125,"environment","noun",3.05,162.0725,523.7435,361.671,"677885",18,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"2","677885_flesh_expressibility_dutch.csv"
"aarde","gesture",-0.94259255,"environment","noun",5.6598,201.264,623.0152,421.7512,"72970",19,2,"nederlands",NA,NA,NA,"engels",3,"spaans",2,"frans",2,"duits",2,"italiaans",1,"NL",6,2,2,1,"5","072970_flesh_expressibility_dutch.csv"
"aarde","vocal",-0.984444444,"environment","noun",3.5375,234.132399999999,628.8025,394.670100000001,"659090",22,1,"nederlands",NA,NA,NA,"engels",2,"duits",2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"5","659090_flesh_expressibility_dutch.csv"
"aarde","vocal",-0.31296285,"environment","noun",3.0305,130.1585,548.183200000048,418.024700000048,"127057",20,2,"nederlands",NA,NA,NA,"engels",0,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,5,"14","127057_flesh_expressibility_dutch.csv"
"aarde","multimodal",0.295555556,"environment","noun",4.953,127.344,390.828,263.484,"103112",21,2,"nederlands",NA,NA,NA,"engels",3,"duits",2,"frans",1,NA,0,NA,0,"NL",6,2,2,5,"2","103112_flesh_expressibility_dutch.csv"
"aarde","multimodal",0.290740826,"environment","noun",14.5746,210.011400000036,1118.14030000001,908.128899999976,"633038",19,2,"nederlands",NA,NA,NA,"engels",0,NA,2,NA,0,NA,0,NA,0,"NL",6,2,1,1,"5","633038_flesh_expressibility_dutch.csv"
"aarde","multimodal",0.470370483,"environment","noun",2.7604,130.1585,548.183200000048,418.024700000048,"127057",20,2,"nederlands",NA,NA,NA,"engels",0,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,5,"14","127057_flesh_expressibility_dutch.csv"
"aarde","multimodal",-0.219444444,"environment","noun",4.346,147.477,487.428,339.951,"716284",18,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",6,2,2,5,"5","716284_flesh_expressibility_dutch.csv"
"aarde","gesture",-0.288888861,"environment","noun",5.735,290.213899999991,673.984900000006,383.771000000015,"332315",21,1,"nederlands",NA,NA,NA,"engels",3,"duits",2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"5","332315_flesh_expressibility_dutch.csv"
"aarde","multimodal",-0.407407407,"environment","noun",7.2949,1111.97630000019,1626.53469999981,514.558399999619,"143629",23,2,"nederlands",NA,NA,NA,"engels",3,"duits",2,NA,0,NA,0,NA,0,"NL",6,2,2,1,"5","143629_flesh_expressibility_dutch.csv"
"aarde","multimodal",-0.822074653,"environment","noun",1.6244,94.3536000000089,301.649699999988,207.296099999979,"778018",20,2,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",3,2,2,5,"1","778018_flesh_expressibility_dutch.csv"
"aarde","vocal",-0.795760639,"environment","noun",3.033,289.460799999952,676.610599999964,387.149800000012,"463298",18,1,"nederlands",NA,NA,NA,"engels",2,"frans",2,NA,0,NA,0,NA,0,"NL",2,2,2,4,"2","463298_flesh_expressibility_dutch.csv"
"aarde","vocal",-0.557407379,"environment","noun",4.284,177.15,517.414599999994,340.264599999994,"377713",18,1,"nederlands",NA,NA,NA,"engels",3,"frans",2,NA,0,NA,0,NA,0,"NL",2,2,2,1,"6","377713_flesh_expressibility_dutch.csv"
"aarde","gesture",0.535555556,"environment","noun",7.2215,73.4894000000954,318.135199999928,244.645799999833,"404481",19,1,"nederlands",NA,NA,NA,"engels",2,NA,2,NA,0,NA,0,NA,0,"NL",2,2,2,5,"5","404481_flesh_expressibility_dutch.csv"
