practice,cycle,word,modality,answer,exp,sessionID
practice,0.0,snijden,combinatie,snijden,1,12_1
none,0.0,vogel,combinatie,vogel,1,12_1
none,0.0,koud,combinatie,koud,1,12_1
none,0.0,heet,combinatie,warm,1,12_1
none,0.0,man,combinatie,groot,1,12_1
none,0.0,slang,combinatie,slang,1,12_1
none,0.0,bijten,combinatie,boterham,1,12_1
none,0.0,vallen,combinatie,pijn,1,12_1
practice,1.0,gek,combinatie,raar,1,12_1
practice,1.0,dansen,combinatie,dansen,1,12_1
none,1.0,bliksem,combinatie,onweer,1,12_1
none,1.0,niet,combinatie,nee,1,12_1
none,1.0,horen,combinatie,luisteren,1,12_1
none,1.0,likken,combinatie,likken,1,12_1
none,1.0,slapen,combinatie,slapen,1,12_1
none,1.0,gooien,combinatie,gooien,1,12_1
none,1.0,wind,combinatie,wind,1,12_1
practice,0.0,geheim,gebaren,fluisteren,2,12_2
practice,0.0,geheim,gebaren,geheim,2,12_2
practice,0.0,eend,gebaren,libelle,2,12_2
practice,0.0,eend,gebaren,eend,2,12_2
none,0.0,bitter,gebaren,vies,2,12_2
none,0.0,bitter,gebaren,proeven,2,12_2
none,0.0,ei,gebaren,walnoot,2,12_2
none,0.0,ei,gebaren,specht,2,12_2
none,0.0,ei,gebaren,gevogelte,2,12_2
none,0.0,vis,gebaren,vis,2,12_2
none,0.0,dik,gebaren,groot,2,12_2
none,0.0,dik,gebaren,dik,2,12_2
none,0.0,onweer,gebaren,vuurwerk,2,12_2
none,0.0,onweer,gebaren,onweer,2,12_2
none,0.0,kauwen,gebaren,lekker,2,12_2
none,0.0,kauwen,gebaren,kauwen,2,12_2
none,0.0,geven,gebaren,betalen,2,12_2
none,0.0,geven,gebaren,pasje,2,12_2
none,0.0,geven,gebaren,geven,2,12_2
practice,1.0,bal,gebaren,gooien,2,12_2
practice,1.0,bal,gebaren,bal,2,12_2
practice,1.0,klok,gebaren,klok,2,12_2
none,1.0,boos,gebaren,boos,2,12_2
none,1.0,hoog,gebaren,klimmen,2,12_2
none,1.0,hoog,gebaren,omhoog,2,12_2
none,1.0,hoog,gebaren,boven,2,12_2
none,1.0,bang,gebaren,koud,2,12_2
none,1.0,bang,gebaren,bang,2,12_2
none,1.0,zoet,gebaren,lekker,2,12_2
none,1.0,zoet,gebaren,smakelijk,2,12_2
none,1.0,zoet,gebaren,smaak,2,12_2
none,1.0,staart,gebaren,draaien,2,12_2
none,1.0,staart,gebaren,kwispelen,2,12_2
none,1.0,staart,gebaren,wapperen,2,12_2
none,1.0,verbranden,gebaren,aansteken,2,12_2
none,1.0,verbranden,gebaren,vuur,2,12_2
none,1.0,verbranden,gebaren,rook,2,12_2
none,1.0,staan,gebaren,plassen,2,12_2
none,1.0,staan,gebaren,nu,2,12_2
none,1.0,staan,gebaren,staan,2,12_2
practice,0.0,sneeuw,geluiden,wind,2,12_2
practice,0.0,sneeuw,geluiden,wandelen,2,12_2
practice,0.0,sneeuw,geluiden,ik weet het niet,2,12_2
practice,0.0,fiets,geluiden,fiets,2,12_2
none,0.0,vrouw,geluiden,wandelen,2,12_2
none,0.0,vrouw,geluiden,schoonmake,2,12_2
none,0.0,vrouw,geluiden,dansen,2,12_2
none,0.0,geur,geluiden,ruiken,2,12_2
none,0.0,geur,geluiden,verkouden,2,12_2
none,0.0,geur,geluiden,blij,2,12_2
none,0.0,zuur,geluiden,lekker,2,12_2
none,0.0,zuur,geluiden,bang,2,12_2
none,0.0,zuur,geluiden,vies,2,12_2
none,0.0,drinken,geluiden,drinken,2,12_2
none,0.0,slaan,geluiden,slaan,2,12_2
none,0.0,jagen,geluiden,schieten,2,12_2
none,0.0,jagen,geluiden,vuurwerk,2,12_2
none,0.0,jagen,geluiden,ontploffen,2,12_2
none,0.0,weten,geluiden,begrijpen,2,12_2
none,0.0,weten,geluiden,leren,2,12_2
none,0.0,weten,geluiden,vinden,2,12_2
practice,1.0,glimlach,geluiden,gieberen,2,12_2
practice,1.0,glimlach,geluiden,twijfelen,2,12_2
practice,1.0,glimlach,geluiden,onzeker,2,12_2
practice,1.0,zingen,geluiden,zingen,2,12_2
none,1.0,walgen,geluiden,vies,2,12_2
none,1.0,walgen,geluiden,goor,2,12_2
none,1.0,walgen,geluiden,stinken,2,12_2
none,1.0,hoorn,geluiden,vrachtwagen,2,12_2
none,1.0,hoorn,geluiden,motor,2,12_2
none,1.0,hoorn,geluiden,trombone,2,12_2
none,1.0,oud,geluiden,ziek,2,12_2
none,1.0,oud,geluiden,verbaast,2,12_2
none,1.0,oud,geluiden,wakker worden,2,12_2
none,1.0,ziek,geluiden,ziek,2,12_2
none,1.0,kruipen,geluiden,baby,2,12_2
none,1.0,kruipen,geluiden,brabbelen,2,12_2
none,1.0,kruipen,geluiden,kindje,2,12_2
none,1.0,vechten,geluiden,vechten,2,12_2
none,1.0,kotsen,geluiden,overgeven,2,12_2
none,1.0,kotsen,geluiden,braken,2,12_2
none,1.0,kotsen,geluiden,misselijk,2,12_2
practice,0.0,zwaaien,combinatie,hallo,2,12_2
practice,0.0,zwaaien,combinatie,zwaaien,2,12_2
practice,0.0,telefoon,combinatie,bellen,2,12_2
practice,0.0,telefoon,combinatie,telefoon,2,12_2
none,0.0,groot,combinatie,hoog,2,12_2
none,0.0,groot,combinatie,groot,2,12_2
none,0.0,zoemen,combinatie,mug,2,12_2
none,0.0,zoemen,combinatie,zoemen,2,12_2
none,0.0,vuur,combinatie,mes,2,12_2
none,0.0,vuur,combinatie,lucifer,2,12_2
none,0.0,vuur,combinatie,aansteker,2,12_2
none,0.0,regen,combinatie,regen,2,12_2
none,0.0,verdrietig,combinatie,huilen,2,12_2
none,0.0,verdrietig,combinatie,tranen,2,12_2
none,0.0,verdrietig,combinatie,verdrietig,2,12_2
none,0.0,springen,combinatie,springen,2,12_2
none,0.0,zuigen,combinatie,zuigen,2,12_2
practice,1.0,vliegtuig,combinatie,vliege,2,12_2
practice,1.0,vliegtuig,combinatie,vliegtuig,2,12_2
practice,1.0,juichen,combinatie,juichen,2,12_2
none,1.0,vlieg,combinatie,bij,2,12_2
none,1.0,vlieg,combinatie,vlieg,2,12_2
none,1.0,blij,combinatie,blij,2,12_2
none,1.0,luidruchtig,combinatie,drummen,2,12_2
none,1.0,luidruchtig,combinatie,druk,2,12_2
none,1.0,luidruchtig,combinatie,kalmeren,2,12_2
none,1.0,zout,combinatie,kruiden,2,12_2
none,1.0,zout,combinatie,zout,2,12_2
none,1.0,stil,combinatie,stil,2,12_2
none,1.0,vangen,combinatie,vangen,2,12_2
none,1.0,grommen,combinatie,grommen,2,12_2
practice,0.0,comfortabel,geluiden,genieten,1,13_1
practice,0.0,olifant,geluiden,vliegen,1,13_1
none,0.0,groot,geluiden,spook,1,13_1
none,0.0,vogel,geluiden,bos,1,13_1
none,0.0,stil,geluiden,stilte,1,13_1
none,0.0,langzaam,geluiden,mediteren,1,13_1
none,0.0,vallen,geluiden,vallen,1,13_1
none,0.0,slaan,geluiden,pistool,1,13_1
none,0.0,staan,geluiden,svhieten,1,13_1
practice,1.0,dansen,geluiden,zingen,1,13_1
practice,1.0,snijden,geluiden,snijden,1,13_1
none,1.0,walgen,geluiden,vies,1,13_1
none,1.0,vuur,geluiden,rijden,1,13_1
none,1.0,heet,geluiden,wind,1,13_1
none,1.0,bliksem,geluiden,stampen,1,13_1
none,1.0,eten,geluiden,eten,1,13_1
none,1.0,ruiken,geluiden,stilte,1,13_1
none,1.0,gooien,geluiden,onweer,1,13_1
practice,0.0,rijk,combinatie,rijk,1,13_1
practice,0.0,auto,combinatie,rijden,1,13_1
none,0.0,boos,combinatie,boos,1,13_1
none,0.0,ei,combinatie,ei,1,13_1
none,0.0,niet,combinatie,straffen,1,13_1
none,0.0,ademen,combinatie,moe,1,13_1
none,0.0,lachen,combinatie,lachen,1,13_1
none,0.0,likken,combinatie,likken,1,13_1
none,0.0,fluisteren,combinatie,fluisteren,1,13_1
practice,1.0,haasten,combinatie,rennen,1,13_1
practice,1.0,bloem,combinatie,vuurwerk,1,13_1
none,1.0,zoemen,combinatie,insect,1,13_1
none,1.0,koud,combinatie,koud,1,13_1
none,1.0,goed,combinatie,goed,1,13_1
none,1.0,slang,combinatie,slang,1,13_1
none,1.0,grommen,combinatie,boos,1,13_1
none,1.0,horen,combinatie,luisteren,1,13_1
none,1.0,rennen,combinatie,sprinten,1,13_1
practice,0.0,knippen,gebaren,knippen,1,13_1
practice,0.0,gek,gebaren,clown,1,13_1
none,0.0,ik,gebaren,ik,1,13_1
none,0.0,ver,gebaren,zoeken,1,13_1
none,0.0,blij,gebaren,blij,1,13_1
none,0.0,oud,gebaren,oud,1,13_1
none,0.0,zuur,gebaren,vies,1,13_1
none,0.0,blazen,gebaren,blazen,1,13_1
none,0.0,kruipen,gebaren,kruipen,1,13_1
practice,1.0,koken,gebaren,koken,1,13_1
practice,1.0,leeg,gebaren,zoeken,1,13_1
