Unnamed: 0,trial_order,trial_type,participant,word,modality,answer,correction,sessionID,exp_part,dyad,pcnID,English,cosine_similarity,guess_binary,expressibility_dutch,SemanticSubcat,filename
35,36,target,1,kruipen,gebaren,tijger,0,10_1,1,10,2,to crawl,0.011,0,0.808002011831166,locomotion,10_1_trial_35_p1_kruipen_gebaren_final.avi
36,37,practice,0,haasten,geluiden,wind,0,10_1,1,10,1,to hurry,0.041,0,,,10_1_pr_36_p0_haasten_geluiden_final.avi
37,38,practice,0,dansen,geluiden,zingen,0,10_1,1,10,1,to dance,0.377,0,,,10_1_pr_37_p0_dansen_geluiden_final.avi
38,39,target,0,kat,geluiden,kat,0,10_1,1,10,1,cat,1.0,1,0.840948971730618,animal,10_1_trial_38_p0_kat_geluiden_final.avi
39,40,target,0,dood,geluiden,stikken,0,10_1,1,10,1,dead,0.199,0,0.423358570613411,animate,10_1_trial_39_p0_dood_geluiden_final.avi
40,41,target,0,snel,geluiden,blazen,0,10_1,1,10,1,fast,0.047,0,0.45736979983774,manner,10_1_trial_40_p0_snel_geluiden_final.avi
41,42,target,0,slang,geluiden,water,0,10_1,1,10,1,snake,0.341,0,0.756185551284266,animal,10_1_trial_41_p0_slang_geluiden_final.avi
42,43,target,0,dik,geluiden,olifant,0,10_1,1,10,1,thick,0.15,0,0.328297815791421,quantity,10_1_trial_42_p0_dik_geluiden_final.avi
43,44,target,0,huilen,geluiden,huilen,0,10_1,1,10,1,to cry,1.0,1,0.822727134099333,vocal_oral,10_1_trial_43_p0_huilen_geluiden_final.avi
44,45,target,0,drinken,geluiden,drinken,0,10_1,1,10,1,to drink,1.0,1,0.657074938645804,vocal_oral,10_1_trial_44_p0_drinken_geluiden_final.avi
45,46,practice,1,comfortabel,geluiden,zingen,0,10_1,1,10,2,comfortable,0.004,0,,,10_1_pr_45_p1_comfortabel_geluiden_final.avi
46,47,practice,1,bloem,geluiden,vlieg,0,10_1,1,10,2,flower,0.109,0,,,10_1_pr_46_p1_bloem_geluiden_final.avi
47,48,target,1,kind,geluiden,baby,0,10_1,1,10,2,child,0.761,0,0.431409213563599,social,10_1_trial_47_p1_kind_geluiden_final.avi
48,49,target,1,ver,geluiden,ballon,0,10_1,1,10,2,far,0.04,0,0.306589745694138,spatial,10_1_trial_48_p1_ver_geluiden_final.avi
49,50,target,1,blij,geluiden,lachen,0,10_1,1,10,2,happy,0.347,0,0.571342868662109,valence,10_1_trial_49_p1_blij_geluiden_final.avi
50,51,target,1,hoorn,geluiden,avontuur,0,10_1,1,10,2,horn,0.023,0,0.612503914010408,other,10_1_trial_50_p1_hoorn_geluiden_final.avi
51,52,target,1,heet,geluiden,moe,0,10_1,1,10,2,hot,0.147,0,0.49098203287298,temperature,10_1_trial_51_p1_heet_geluiden_final.avi
52,53,target,1,zout,geluiden,slissen,0,10_1,1,10,2,salt,0.068,0,0.153255935410395,gustatory,10_1_trial_52_p1_zout_geluiden_final.avi
53,54,target,1,ziek,geluiden,hoesten,0,10_1,1,10,2,sick,0.322,0,0.548898090158061,animate,10_1_trial_53_p1_ziek_geluiden_final.avi
54,1,practice,0,zwaaien,gebaren,zwaaien,0,10_2,2,10,1,to wave,1.0,1,,,10_2_pr_0_p0_zwaaien_gebaren_c0_final.avi
55,2,practice,0,juichen,gebaren,dansen,0,10_2,2,10,1,to cheer,0.178,0,,,10_2_pr_1_p0_juichen_gebaren_c0_final.avi
56,3,practice,0,juichen,gebaren,juichen,1,10_2,2,10,1,to cheer,1.0,1,,,10_2_pr_2_p0_juichen_gebaren_c1_final.avi
57,4,target,0,vis,gebaren,vis,0,10_2,2,10,1,fish,1.0,1,0.69659625199764,animal,10_2_trial_3_p0_vis_gebaren_c0_final.avi
58,5,target,0,hoog,gebaren,groot,0,10_2,2,10,1,high,0.448,0,0.763929389158889,auditory,10_2_trial_4_p0_hoog_gebaren_c0_final.avi
59,6,target,0,hoog,gebaren,rijken,1,10_2,2,10,1,high,0.233,0,0.763929389158889,auditory,10_2_trial_5_p0_hoog_gebaren_c1_final.avi
60,7,target,0,hoog,gebaren,hoog,2,10_2,2,10,1,high,1.0,1,0.763929389158889,auditory,10_2_trial_6_p0_hoog_gebaren_c2_final.avi
61,8,target,0,regen,gebaren,regen,0,10_2,2,10,1,rain,1.0,1,0.729078471280972,environment,10_2_trial_7_p0_regen_gebaren_c0_final.avi
62,9,target,0,verdrietig,gebaren,huilen,0,10_2,2,10,1,sad,0.389,0,0.816931671134317,valence,10_2_trial_8_p0_verdrietig_gebaren_c0_final.avi
63,10,target,0,verdrietig,gebaren,verdrietig,1,10_2,2,10,1,sad,1.0,1,0.816931671134317,valence,10_2_trial_9_p0_verdrietig_gebaren_c1_final.avi
64,11,target,0,langzaam,gebaren,slowmotion,0,10_2,2,10,1,slow,8.214,0,0.689425946655567,manner,10_2_trial_10_p0_langzaam_gebaren_c0_final.avi
65,12,target,0,langzaam,gebaren,joggen,1,10_2,2,10,1,slow,0.224,0,0.689425946655567,manner,10_2_trial_11_p0_langzaam_gebaren_c1_final.avi
66,13,target,0,langzaam,gebaren,langzaam,2,10_2,2,10,1,slow,1.0,1,0.689425946655567,manner,10_2_trial_12_p0_langzaam_gebaren_c2_final.avi
67,14,target,0,weten,gebaren,denken,0,10_2,2,10,1,to know,0.631,0,0.506590701964198,cognitive,10_2_trial_13_p0_weten_gebaren_c0_final.avi
68,15,target,0,weten,gebaren,idee,1,10_2,2,10,1,to know,0.292,0,0.506590701964198,cognitive,10_2_trial_14_p0_weten_gebaren_c1_final.avi
69,16,target,0,weten,gebaren,bedenken,2,10_2,2,10,1,to know,0.513,0,0.506590701964198,cognitive,10_2_trial_15_p0_weten_gebaren_c2_final.avi
70,17,target,0,rennen,gebaren,rennen,0,10_2,2,10,1,to run,1.0,1,0.826568126656141,locomotion,10_2_trial_16_p0_rennen_gebaren_c0_final.avi
71,18,practice,1,vliegtuig,gebaren,vliegtuig,0,10_2,2,10,2,airplane,1.0,1,,,10_2_pr_17_p1_vliegtuig_gebaren_c0_final.avi
72,19,practice,1,bal,gebaren,gooien,0,10_2,2,10,2,ball,0.313,0,,,10_2_pr_18_p1_bal_gebaren_c0_final.avi
73,20,practice,1,bal,gebaren,werpen,1,10_2,2,10,2,ball,0.337,0,,,10_2_pr_19_p1_bal_gebaren_c1_final.avi
74,21,practice,1,bal,gebaren,bal,2,10_2,2,10,2,ball,1.0,1,,,10_2_pr_20_p1_bal_gebaren_c2_final.avi
75,22,target,1,zwaar,gebaren,zwanger,0,10_2,2,10,2,heavy,0.104,0,0.688818480327848,quantity,10_2_trial_21_p1_zwaar_gebaren_c0_final.avi
76,23,target,1,zwaar,gebaren,dik,1,10_2,2,10,2,heavy,0.594,0,0.688818480327848,quantity,10_2_trial_22_p1_zwaar_gebaren_c1_final.avi
77,24,target,1,zwaar,gebaren,zwaar,2,10_2,2,10,2,heavy,1.0,1,0.688818480327848,quantity,10_2_trial_23_p1_zwaar_gebaren_c2_final.avi
78,25,target,1,niet,gebaren,kruis,0,10_2,2,10,2,not,0.005,0,0.546206866167494,logical,10_2_trial_24_p1_niet_gebaren_c0_final.avi
79,26,target,1,niet,gebaren,verboden,1,10_2,2,10,2,not,0.366,0,0.546206866167494,logical,10_2_trial_25_p1_niet_gebaren_c1_final.avi
80,27,target,1,niet,gebaren,luisteren,2,10_2,2,10,2,not,0.013,0,0.546206866167494,logical,10_2_trial_26_p1_niet_gebaren_c2_final.avi
81,28,target,1,bang,gebaren,schrikken,0,10_2,2,10,2,scared,0.747,0,0.713438710786138,valence,10_2_trial_27_p1_bang_gebaren_c0_final.avi
82,29,target,1,bang,gebaren,bang,1,10_2,2,10,2,scared,1.0,1,0.713438710786138,valence,10_2_trial_28_p1_bang_gebaren_c1_final.avi
83,30,target,1,stil,gebaren,stil,0,10_2,2,10,2,silent,1.0,1,0.818566029243692,auditory,10_2_trial_29_p1_stil_gebaren_c0_final.avi
84,31,target,1,staart,gebaren,pruik,0,10_2,2,10,2,tail,0.318,0,0.594711648335829,quantity,10_2_trial_30_p1_staart_gebaren_c0_final.avi
85,32,target,1,staart,gebaren,bruid,1,10_2,2,10,2,tail,0.032,0,0.594711648335829,quantity,10_2_trial_31_p1_staart_gebaren_c1_final.avi
86,33,target,1,staart,gebaren,staart,2,10_2,2,10,2,tail,1.0,1,0.594711648335829,quantity,10_2_trial_32_p1_staart_gebaren_c2_final.avi
87,34,target,1,vallen,gebaren,wegduwen,0,10_2,2,10,2,to fall,0.274,0,0.717367201892134,locomotion,10_2_trial_33_p1_vallen_gebaren_c0_final.avi
88,35,target,1,vallen,gebaren,vallen,1,10_2,2,10,2,to fall,1.0,1,0.717367201892134,locomotion,10_2_trial_34_p1_vallen_gebaren_c1_final.avi
89,36,target,1,likken,gebaren,likken,0,10_2,2,10,2,to lick,1.0,1,0.757301371697859,gustatory,10_2_trial_35_p1_likken_gebaren_c0_final.avi
90,37,practice,0,eend,combinatie,eend,0,10_2,2,10,1,duck,1.0,1,,,10_2_pr_36_p0_eend_combinatie_c0_final.avi
91,38,practice,0,zingen,combinatie,zingen,0,10_2,2,10,1,to sing,1.0,1,,,10_2_pr_37_p0_zingen_combinatie_c0_final.avi
92,39,target,0,ik,combinatie,vrouw,0,10_2,2,10,1,I,0.29,0,0.689936218632502,social,10_2_trial_38_p0_ik_combinatie_c0_final.avi
93,40,target,0,ik,combinatie,ik,1,10_2,2,10,1,I,1.0,1,0.689936218632502,social,10_2_trial_39_p0_ik_combinatie_c1_final.avi
94,41,target,0,bliksem,combinatie,bliksem,0,10_2,2,10,1,lightning,1.0,1,0.596218227203866,environment,10_2_trial_40_p0_bliksem_combinatie_c0_final.avi
95,42,target,0,klein,combinatie,klein,0,10_2,2,10,1,small,1.0,1,0.779274600156361,quantity,10_2_trial_41_p0_klein_combinatie_c0_final.avi
96,43,target,0,slaan,combinatie,slaan,0,10_2,2,10,1,to hit,1.0,1,0.794014980882957,manual,10_2_trial_42_p0_slaan_combinatie_c0_final.avi
97,44,target,0,slapen,combinatie,slapen,0,10_2,2,10,1,to sleep,1.0,1,0.857717036574825,survival,10_2_trial_43_p0_slapen_combinatie_c0_final.avi
98,45,target,0,zuigen,combinatie,sabbelen,0,10_2,2,10,1,to suck,0.755,0,0.671311406311871,vocal_oral,10_2_trial_44_p0_zuigen_combinatie_c0_final.avi
99,46,target,0,zuigen,combinatie,zuigen,1,10_2,2,10,1,to suck,1.0,1,0.671311406311871,vocal_oral,10_2_trial_45_p0_zuigen_combinatie_c1_final.avi
100,47,target,0,kotsen,combinatie,overgeven,0,10_2,2,10,1,to vomit,0.773,0,0.828901259475311,gustatory,10_2_trial_46_p0_kotsen_combinatie_c0_final.avi
101,48,target,0,kotsen,combinatie,kotsen,1,10_2,2,10,1,to vomit,1.0,1,0.828901259475311,gustatory,10_2_trial_47_p0_kotsen_combinatie_c1_final.avi
102,49,practice,1,klok,combinatie,klok,0,10_2,2,10,2,clock,1.0,1,,,10_2_pr_48_p1_klok_combinatie_c0_final.avi
103,50,practice,1,geheim,combinatie,geheim,0,10_2,2,10,2,secret,1.0,1,,,10_2_pr_49_p1_geheim_combinatie_c0_final.avi
104,51,target,1,boos,combinatie,boos,0,10_2,2,10,2,angry,1.0,1,0.818182220108296,valence,10_2_trial_50_p1_boos_combinatie_c0_final.avi
105,52,target,1,walgen,combinatie,walgen,0,10_2,2,10,2,disgusted,1.0,1,0.673077034619221,valence,10_2_trial_51_p1_walgen_combinatie_c0_final.avi
106,53,target,1,goed,combinatie,goed,0,10_2,2,10,2,good,1.0,1,0.687562055559869,valence,10_2_trial_52_p1_goed_combinatie_c0_final.avi
107,54,target,1,luidruchtig,combinatie,druk,0,10_2,2,10,2,loud,0.493,0,0.639905020121821,auditory,10_2_trial_53_p1_luidruchtig_combinatie_c0_final.avi
108,55,target,1,luidruchtig,combinatie,schreeuwen,1,10_2,2,10,2,loud,0.468,0,0.639905020121821,auditory,10_2_trial_54_p1_luidruchtig_combinatie_c1_final.avi
109,56,target,1,luidruchtig,combinatie,babbelen,2,10_2,2,10,2,loud,0.204,0,0.639905020121821,auditory,10_2_trial_55_p1_luidruchtig_combinatie_c2_final.avi
