"trial_order","dyad","participant_dyad","participant_ID","exp_part","modality","expressibility_dutch","concept","correction","guess_binary","cosine_similarity","stimulus","answer","SemanticSubcat","sessionID"
92,10,1,2,2,"vocal",0.292221991868001,"mountain",1,0,0.531,"berg","zuchten","environment","10_2"
93,10,1,2,2,"vocal",0.292221991868001,"mountain",2,0,0.516,"berg","ontladen","environment","10_2"
94,10,1,2,2,"vocal",0.805891834375597,"to blow",0,1,1,"blazen","blazen","vocal_oral","10_2"
95,10,1,2,2,"vocal",0.551944383571384,"to fight",0,0,0.773,"vechten","boksen","survival","10_2"
96,10,1,2,2,"vocal",0.551944383571384,"to fight",1,1,1,"vechten","vechten","survival","10_2"
97,10,1,2,2,"vocal",0.275959375649482,"to give",0,0,0.616,"geven","nadenken","manual","10_2"
98,10,1,2,2,"vocal",0.275959375649482,"to give",1,0,0.679,"geven","weten","manual","10_2"
99,10,1,2,2,"vocal",0.275959375649482,"to give",2,0,0.685,"geven","begrijpen","manual","10_2"
100,10,1,2,2,"vocal",0.751462893836329,"to growl",0,0,0.569,"grommen","tijger","vocal_oral","10_2"
101,10,1,2,2,"vocal",0.751462893836329,"to growl",1,0,0.554,"grommen","leeuw","vocal_oral","10_2"
102,10,1,2,2,"vocal",0.751462893836329,"to growl",2,1,1,"grommen","grommen","vocal_oral","10_2"
103,10,1,2,2,"vocal",0.319057764809126,"to walk",0,0,0.875,"lopen","wandelen","locomotion","10_2"
104,10,1,2,2,"vocal",0.319057764809126,"to walk",1,0,0.628,"lopen","tikken","locomotion","10_2"
105,10,1,2,2,"vocal",0.703341393070909,"to whisper",0,1,1,"fluisteren","fluisteren","auditory","10_2"
3,11,0,3,1,"combined",0.779877846324741,"dog",0,1,1,"hond","hond","animal","11_1"
4,11,0,3,1,"combined",0.523817227867007,"horn",0,0,0.737,"hoorn","geluid","other","11_1"
5,11,0,3,1,"combined",0.665167842854809,"odor",0,0,0.933,"geur","ruiken","olfactory","11_1"
6,11,0,3,1,"combined",0.598288311266584,"old",0,0,0.799,"oud","bejaarde","time","11_1"
7,11,0,3,1,"combined",0.786001237160513,"to crawl",0,0,0.523,"kruipen","baby","locomotion","11_1"
8,11,0,3,1,"combined",0.809230111883697,"to drink",0,1,1,"drinken","drinken","vocal_oral","11_1"
9,11,0,3,1,"combined",0.574876010515767,"water",0,1,1,"water","water","environment","11_1"
12,11,1,4,1,"combined",0.409843169892478,"bitter",0,0,0.791,"bitter","zuur","gustatory","11_1"
13,11,1,4,1,"combined",0.782999080138815,"cat",0,1,1,"kat","kat","animal","11_1"
14,11,1,4,1,"combined",0.779274600156361,"small",0,0,0.64,"klein","krimpen","quantity","11_1"
15,11,1,4,1,"combined",0.82173351174681,"strong",0,1,1,"sterk","sterk","animate","11_1"
16,11,1,4,1,"combined",0.771810542050373,"to blow",0,1,1,"blazen","blazen","vocal_oral","11_1"
17,11,1,4,1,"combined",0.794014980882957,"to hit",0,0,0.76,"slaan","highfive","manual","11_1"
18,11,1,4,1,"combined",0.561280966931274,"to know",0,0,0.646,"weten","idee","cognitive","11_1"
21,11,0,3,1,"gesture",0.803028772880841,"angry",0,0,0.58,"boos","juichen","valence","11_1"
22,11,0,3,1,"gesture",0.688818480327848,"heavy",0,0,0.537,"zwaar","wanhoop","quantity","11_1"
23,11,0,3,1,"gesture",0.729078471280972,"rain",0,0,0.685,"regen","douchen","environment","11_1"
24,11,0,3,1,"gesture",0.258150304252129,"sweet",0,0,0.646,"zoet","eten","gustatory","11_1"
25,11,0,3,1,"gesture",0.717367201892134,"to fall",0,1,1,"vallen","vallen","locomotion","11_1"
26,11,0,3,1,"gesture",0.829161424358265,"to laugh",0,1,1,"lachen","lachen","vocal_oral","11_1"
27,11,0,3,1,"gesture",0.615289104632194,"to whisper",0,1,1,"fluisteren","fluisteren","auditory","11_1"
30,11,1,4,1,"gesture",0.847021849271004,"cold",0,1,1,"koud","koud","temperature","11_1"
31,11,1,4,1,"gesture",0.525289002863704,"lightning",0,1,1,"bliksem","bliksem","environment","11_1"
32,11,1,4,1,"gesture",0.329523830267451,"squeak",0,0,0.648,"piepen","praten","auditory","11_1"
33,11,1,4,1,"gesture",0.788344961875328,"to bite",0,1,1,"bijten","bijten","vocal_oral","11_1"
34,11,1,4,1,"gesture",0.757301371697859,"to lick",0,1,1,"likken","likken","gustatory","11_1"
35,11,1,4,1,"gesture",0.802266372635419,"to vomit",0,0,0.887,"kotsen","overgeven","gustatory","11_1"
36,11,1,4,1,"gesture",0.841423850173278,"to walk",0,1,1,"lopen","lopen","locomotion","11_1"
39,11,0,3,1,"vocal",0.45736979983774,"fast",0,0,0.544,"snel","wind","manner","11_1"
40,11,0,3,1,"vocal",0.548898090158061,"sick",0,0,0.661,"ziek","hoesten","animate","11_1"
41,11,0,3,1,"vocal",0.756185551284266,"snake",0,1,1,"slang","slang","animal","11_1"
42,11,0,3,1,"vocal",0.361936361379245,"sour",0,0,0.526,"zuur","hijgen","gustatory","11_1"
43,11,0,3,1,"vocal",0.515683484907029,"thunder",0,0,0.62,"onweer","ontploffing","environment","11_1"
44,11,0,3,1,"vocal",0.784779073219606,"to breathe",0,0,0.797,"ademen","hijgen","olfactory","11_1"
45,11,0,3,1,"vocal",0.367189286077145,"to burn",0,0,0.53,"verbranden","fluiten","other","11_1"
48,11,1,4,1,"vocal",0.664921279040402,"disgusted",0,0,0.677,"walgen","vies","valence","11_1"
49,11,1,4,1,"vocal",0.403534954357456,"female",0,0,0.528,"vrouw","nieuwsgierig","animate","11_1"
