"trial_order","dyad","participant_dyad","participant_ID","exp_part","modality","expressibility_dutch","concept","correction","guess_binary","cosine_similarity","stimulus","answer","SemanticSubcat","sessionID","perf_dyad","perf_participant_dyad","perf_participant_ID","mean_cosine_similarity","median_cosine_similarity"
18,61,1,114,1,"combined",0.803268146536285,"to throw",0,1,1,"gooien","gooien","manual","61_1",64.2857142857143,71.4285714285714,71.4285714285714,0.814714285714286,1
54,66,1,124,1,"combined",0.574876010515767,"water",0,1,1,"water","water","environment","66_1",42.8571428571429,71.4285714285714,71.4285714285714,0.765571428571429,1
24,6,0,129,1,"combined",0.80478903012149,"snake",0,1,1,"slang","slang","animal","6_1",64.2857142857143,71.4285714285714,71.4285714285714,0.721428571428571,1
25,6,0,129,1,"combined",0.808141386412857,"to breathe",0,1,1,"ademen","ademen","olfactory","6_1",64.2857142857143,71.4285714285714,71.4285714285714,0.721428571428571,1
26,6,0,129,1,"combined",0.682815334308846,"to hunt",0,1,1,"jagen","jagen","survival","6_1",64.2857142857143,71.4285714285714,71.4285714285714,0.721428571428571,1
27,6,0,129,1,"combined",0.722861375889574,"to whisper",0,1,1,"fluisteren","fluisteren","auditory","6_1",64.2857142857143,71.4285714285714,71.4285714285714,0.721428571428571,1
30,6,1,130,1,"combined",0.818182220108296,"angry",0,1,1,"boos","boos","valence","6_1",64.2857142857143,57.1428571428571,57.1428571428571,0.751428571428571,1
31,6,1,130,1,"combined",0.782999080138815,"cat",0,1,1,"kat","kat","animal","6_1",64.2857142857143,57.1428571428571,57.1428571428571,0.751428571428571,1
34,6,1,130,1,"combined",0.598288311266584,"old",0,1,1,"oud","oud","time","6_1",64.2857142857143,57.1428571428571,57.1428571428571,0.751428571428571,1
21,8,0,139,1,"combined",0.806460221089258,"bird",0,1,1,"vogel","vogel","animal","8_1",57.1428571428571,71.4285714285714,71.4285714285714,0.751714285714286,1
39,9,0,141,1,"combined",0.719579068930045,"rain",0,1,1,"regen","regen","environment","9_1",64.2857142857143,57.1428571428571,57.1428571428571,0.742142857142857,1
45,9,0,141,1,"combined",0.83908076354321,"to walk",0,1,1,"lopen","lopen","locomotion","9_1",64.2857142857143,57.1428571428571,57.1428571428571,0.742142857142857,1
48,9,1,142,1,"combined",0.819687004635733,"cold",0,1,1,"koud","koud","temperature","9_1",64.2857142857143,71.4285714285714,71.4285714285714,0.801428571428571,1
51,9,1,142,1,"combined",0.780811330443828,"to bite",0,1,1,"bijten","bijten","vocal_oral","9_1",64.2857142857143,71.4285714285714,71.4285714285714,0.801428571428571,1
12,11,1,4,1,"combined",0.409843169892478,"bitter",0,0,0.581,"bitter","zuur","gustatory","11_1",42.8571428571429,42.8571428571429,42.8571428571429,0.692333333333333,0.7905
49,12,1,6,1,"combined",0.582985856060995,"not",0,0,0.746,"niet","nee","logical","12_1",50,57.1428571428571,57.1428571428571,0.866142857142857,1
51,21,1,26,1,"combined",0.835895891065153,"sad",0,0,0.389,"verdrietig","huilen","valence","21_1",64.2857142857143,57.1428571428571,57.1428571428571,0.644857142857143,1
24,28,0,39,1,"combined",0.557153125291575,"sharp",0,0,0.319,"scherp","heet","haptic","28_1",35.7142857142857,14.2857142857143,14.2857142857143,0.439428571428571,0.319
13,32,1,50,1,"combined",0.665167842854809,"odor",0,0,0.867,"geur","ruiken","olfactory","32_1",50,28.5714285714286,28.5714285714286,0.569428571428571,0.614
42,39,0,63,1,"combined",0.599769001504526,"maybe",0,0,0.424,"misschien","nadenken","logical","39_1",57.1428571428571,42.8571428571429,42.8571428571429,0.661714285714286,0.66
33,42,1,72,1,"combined",0.307835133794218,"sweet",0,0,0.737,"zoet","snoepjes","gustatory","42_1",42.8571428571429,42.8571428571429,42.8571428571429,0.815714285714286,0.837
48,47,1,82,1,"combined",0.647930328473485,"buzz",0,0,0.831,"zoemen","brommen","auditory","47_1",28.5714285714286,42.8571428571429,42.8571428571429,0.679,0.9155
27,51,0,91,1,"combined",0.561280966931274,"to know",0,0,0.731,"weten","begrijpen","cognitive","51_1",35.7142857142857,28.5714285714286,28.5714285714286,0.611666666666667,0.569
40,54,0,97,1,"combined",0.673077034619221,"disgusted",0,0,0.57,"walgen","walgelijk","valence","54_1",42.8571428571429,42.8571428571429,42.8571428571429,0.675142857142857,0.792
43,9,0,141,1,"combined",0.740356572783746,"to hear",0,0,0.626,"horen","luisteren","auditory","9_1",64.2857142857143,57.1428571428571,57.1428571428571,0.742142857142857,1
50,9,1,142,1,"combined",0.639905020121821,"loud",0,0,0.533,"luidruchtig","hard","auditory","9_1",64.2857142857143,71.4285714285714,71.4285714285714,0.801428571428571,1
