welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,ppn,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,xRes,yRes,sensorypref[],sensorypref2,sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,48.3363,5.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806]",,,0.0,5.0,5.0,28.0,1.0,man,gman,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,48.8897,6.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534,0.29949999999999477]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806,0.29949999999999477]",-0.153703704,0.9131,0.0,6.0,6.0,46.0,1.0,nat,gnat,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,50.3785,6.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534,0.29949999999999477]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806,0.29949999999999477]",,,0.0,7.0,7.0,10.0,1.0,strak,gstrak,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,51.8803,7.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534,0.29949999999999477,0.2999000000953629]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806,0.29949999999999477,0.2999000000953629]",-0.081481481,1.8974,0.0,8.0,8.0,70.0,1.0,aanraken,gaanraken,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,53.3252,8.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534,0.29949999999999477,0.2999000000953629,0.29960000014304455]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806,0.29949999999999477,0.2999000000953629,0.2997000000476788]",-0.107407407,1.2545,0.0,9.0,9.0,85.0,1.0,boven,gboven,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,55.1293,9.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534,0.29949999999999477,0.2999000000953629,0.29960000014304455,0.6994000000953804]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806,0.29949999999999477,0.2999000000953629,0.2997000000476788,0.6995000000000005]",0.016666667,1.3585,0.0,10.0,10.0,66.0,1.0,bot (adjectief),gbot (adjectief),question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,56.9776,10.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534,0.29949999999999477,0.2999000000953629,0.29960000014304455,0.6994000000953804,0.26650000000000773]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806,0.29949999999999477,0.2999000000953629,0.2997000000476788,0.6995000000000005,0.266599999904642]",-0.035185185,1.2202,0.0,11.0,11.0,88.0,1.0,verzamelen,gverzamelen,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,58.5719,11.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534,0.29949999999999477,0.2999000000953629,0.29960000014304455,0.6994000000953804,0.26650000000000773,0.28340000009536936]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806,0.29949999999999477,0.2999000000953629,0.2997000000476788,0.6995000000000005,0.266599999904642,0.28340000009536936]",-0.274074074,1.2038,0.0,12.0,12.0,82.0,1.0,beneden,gbeneden,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,60.0818,11.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534,0.29949999999999477,0.2999000000953629,0.29960000014304455,0.6994000000953804,0.26650000000000773,0.28340000009536936]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806,0.29949999999999477,0.2999000000953629,0.2997000000476788,0.6995000000000005,0.266599999904642,0.28340000009536936]",,,0.0,13.0,13.0,146.0,1.0,nemen,gnemen,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,61.0702,12.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534,0.29949999999999477,0.2999000000953629,0.29960000014304455,0.6994000000953804,0.26650000000000773,0.28340000009536936,0.26640000009535925]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806,0.29949999999999477,0.2999000000953629,0.2997000000476788,0.6995000000000005,0.266599999904642,0.28340000009536936,0.2664999999999935]",-0.064814815,1.456,0.0,14.0,14.0,36.0,1.0,slecht,gslecht,question_gesture.png,im_hand.png
,,,1,3,2023-05-30_16h05.04.993,flesh_expressibility_dutch,2022.2.4,Win32,60.04563468,183238,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,155.2912,12.0,"[0.38220000004768195,0.40020000004768264,0.33329999995231674,0.36729999995231566,0.2836000001430534,0.29949999999999477,0.2999000000953629,0.29960000014304455,0.6994000000953804,0.26650000000000773,0.28340000009536936,0.26640000009535925]","[0.3822999999523162,0.4002999999523169,0.33329999995231674,0.36739999985694993,0.2837000000476806,0.29949999999999477,0.2999000000953629,0.2997000000476788,0.6995000000000005,0.266599999904642,0.28340000009536936,0.2664999999999935]",,,0.0,15.0,15.0,196.0,1.0,steen,gsteen,question_gesture.png,im_hand.png
