welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,exp_ID,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,sensorypref2,xRes,yRes,sensorypref[],sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,comment_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,200.7232,8.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665,0.6835000000000093]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665,0.6835000000000093]",-0.901851824,2.0537,0.0,7.0,7.0,180.0,1.0,het,mhet,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,203.5129,9.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665,0.6835000000000093,1.0008999999761556]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665,0.6835000000000093,1.0010000000000048]",0.18703715,3.6881,0.0,8.0,8.0,157.0,1.0,wortel,mwortel,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,208.2338,10.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665,0.6835000000000093,1.0008999999761556,0.6651000000238412]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665,0.6835000000000093,1.0010000000000048,0.6658000000715276]",0.779629686,2.874,0.0,9.0,9.0,25.0,1.0,dood,mdood,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,211.7911,11.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665,0.6835000000000093,1.0008999999761556,0.6651000000238412,1.616399999976153]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665,0.6835000000000093,1.0010000000000048,0.6658000000715276,1.616399999976153]",-0.972222222,3.0027,0.0,10.0,10.0,143.0,1.0,vermalen,mvermalen,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,216.4441,12.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665,0.6835000000000093,1.0008999999761556,0.6651000000238412,1.616399999976153,0.5657999999523042]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665,0.6835000000000093,1.0010000000000048,0.6658000000715276,1.616399999976153,0.5658999999761534]",0.203703817,3.1044,0.0,11.0,11.0,190.0,1.0,ei,mei,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,220.0835,13.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665,0.6835000000000093,1.0008999999761556,0.6651000000238412,1.616399999976153,0.5657999999523042,2.1667000000476833]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665,0.6835000000000093,1.0010000000000048,0.6658000000715276,1.616399999976153,0.5658999999761534,2.166800000071504]",0.08703715,4.8281,0.0,12.0,12.0,96.0,1.0,verbranden,mverbranden,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,225.6941,14.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665,0.6835000000000093,1.0008999999761556,0.6651000000238412,1.616399999976153,0.5657999999523042,2.1667000000476833,1.3158999999761818]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665,0.6835000000000093,1.0010000000000048,0.6658000000715276,1.616399999976153,0.5658999999761534,2.166800000071504,1.315999999999974]",-0.394444444,4.9609,0.0,13.0,13.0,178.0,1.0,hij,mhij,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,231.3,15.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665,0.6835000000000093,1.0008999999761556,0.6651000000238412,1.616399999976153,0.5657999999523042,2.1667000000476833,1.3158999999761818,2.4827999999523627]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665,0.6835000000000093,1.0010000000000048,0.6658000000715276,1.616399999976153,0.5658999999761534,2.166800000071504,1.315999999999974,2.482899999976155]",-0.609259203,4.2776,0.0,14.0,14.0,131.0,1.0,zand,mzand,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,236.2288,16.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665,0.6835000000000093,1.0008999999761556,0.6651000000238412,1.616399999976153,0.5657999999523042,2.1667000000476833,1.3158999999761818,2.4827999999523627,2.066500000000019]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665,0.6835000000000093,1.0010000000000048,0.6658000000715276,1.616399999976153,0.5658999999761534,2.166800000071504,1.315999999999974,2.482899999976155,2.066500000000019]",0.544444444,2.7706,0.0,15.0,15.0,100.0,1.0,vogel,mvogel,question_multimodal.png,im_combination.png,,,,,,
,,,s1110832,1,21,2023-09-12_18h50.11.746,flesh_expressibility_dutch,2022.2.4,Win32,60.09976561,,,,18.0,1.0,Nederlands,,,,,,Engels,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,6.0,2.0,2.0,1.0,,sensorypref1,sensorypref2,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,241.0657,17.0,"[1.2988000000715374,0.5496000000238439,1.583099999904647,1.5635000000000048,0.532600000023848,1.0336999999284728,0.6156999999284665,0.6835000000000093,1.0008999999761556,0.6651000000238412,1.616399999976153,0.5657999999523042,2.1667000000476833,1.3158999999761818,2.4827999999523627,2.066500000000019,0.7989000000953865]","[1.2988000000715374,0.5496000000238439,1.5832999999523167,1.5635000000000048,0.532600000023848,1.033799999952322,0.6156999999284665,0.6835000000000093,1.0010000000000048,0.6658000000715276,1.616399999976153,0.5658999999761534,2.166800000071504,1.315999999999974,2.482899999976155,2.066500000000019,0.7989000000953865]",0.890740797,3.1621,0.0,16.0,16.0,110.0,1.0,tand,mtand,question_multimodal.png,im_combination.png,,,,,,
