welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,button_confirm.numClicks,button_confirm.timesOn,button_confirm.timesOff,button_exit.numClicks,button_exit.timesOn,button_exit.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,xRes,yRes,sensorypref[],sensorypref2,sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,56.2726,7.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874,0.6663999999761572]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874,0.6664999999999992]",-0.083333333,1.259,0.0,6.0,6.0,188.0,1.0,verstoppen,vverstoppen,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,58.4627,8.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874,0.6663999999761572,0.33279999995231435]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874,0.6664999999999992,0.33279999995231435]",-0.031481481,1.2076,0.0,7.0,7.0,8.0,1.0,likken,vlikken,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,60.2134,9.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874,0.6663999999761572,0.33279999995231435,0.3666000000238512]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874,0.6664999999999992,0.33279999995231435,0.3666000000238512]",-0.055555556,1.3881,0.0,8.0,8.0,162.0,1.0,bitter,vbitter,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,61.7904,10.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874,0.6663999999761572,0.33279999995231435,0.3666000000238512,0.3492999999523221]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874,0.6664999999999992,0.33279999995231435,0.3666000000238512,0.349399999976157]",-0.057407407,1.2294,0.0,9.0,9.0,170.0,1.0,groot,vgroot,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,63.6486,11.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874,0.6663999999761572,0.33279999995231435,0.3666000000238512,0.3492999999523221,0.3495999999046262]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874,0.6664999999999992,0.33279999995231435,0.3666000000238512,0.349399999976157,0.34969999992847534]",-0.07962963,1.4306,0.0,10.0,10.0,7.0,1.0,kauwen,vkauwen,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,65.5572,12.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874,0.6663999999761572,0.33279999995231435,0.3666000000238512,0.3492999999523221,0.3495999999046262,0.383199999928479]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874,0.6664999999999992,0.33279999995231435,0.3666000000238512,0.349399999976157,0.34969999992847534,0.383199999928479]",-0.092592593,1.5773,0.0,11.0,11.0,98.0,1.0,maken,vmaken,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,67.0925,13.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874,0.6663999999761572,0.33279999995231435,0.3666000000238512,0.3492999999523221,0.3495999999046262,0.383199999928479,0.34919999992847295]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874,0.6664999999999992,0.33279999995231435,0.3666000000238512,0.349399999976157,0.34969999992847534,0.383199999928479,0.34919999992847295]",-0.048148148,1.1803,0.0,12.0,12.0,100.0,1.0,vogel,vvogel,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,68.8382,14.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874,0.6663999999761572,0.33279999995231435,0.3666000000238512,0.3492999999523221,0.3495999999046262,0.383199999928479,0.34919999992847295,0.3162999999523066]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874,0.6664999999999992,0.33279999995231435,0.3666000000238512,0.349399999976157,0.34969999992847534,0.383199999928479,0.34919999992847295,0.3162999999523066]",-0.035185185,1.3701,0.0,13.0,13.0,0.0,1.0,droog,vdroog,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,70.2944,15.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874,0.6663999999761572,0.33279999995231435,0.3666000000238512,0.3492999999523221,0.3495999999046262,0.383199999928479,0.34919999992847295,0.3162999999523066,0.29999999999999716]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874,0.6664999999999992,0.33279999995231435,0.3666000000238512,0.349399999976157,0.34969999992847534,0.383199999928479,0.34919999992847295,0.3162999999523066,0.29999999999999716]",-0.055555556,1.228,0.0,14.0,14.0,190.0,1.0,ei,vei,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_17h33.22.681,flesh_expressibility_dutch,2022.2.4,Win32,59.36832106,,,,,,,,,,,,,,,,,18.0,1.0,test,,,,,,test,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,71.8069,16.0,"[0.4498999999761608,0.41629999995231515,0.39970000004768735,0.3498999999761594,0.31680000007152387,0.6497000000476874,0.6663999999761572,0.33279999995231435,0.3666000000238512,0.3492999999523221,0.3495999999046262,0.383199999928479,0.34919999992847295,0.3162999999523066,0.29999999999999716,0.31629999995232083]","[0.45000000000000284,0.4163999999761572,0.39970000004768735,0.3500000000000014,0.31680000007152387,0.6497000000476874,0.6664999999999992,0.33279999995231435,0.3666000000238512,0.349399999976157,0.34969999992847534,0.383199999928479,0.34919999992847295,0.3162999999523066,0.29999999999999716,0.31629999995232083]",-0.061111111,1.1406,0.0,15.0,15.0,19.0,1.0,misschien,vmisschien,question_vocal.png,im_mouth.png,,,,,
