welcome_weiter.numClicks,welcome_weiter.timesOn,welcome_weiter.timesOff,session,presentation limit,date,expName,psychopyVersion,OS,frameRate,introduction_weiter.numClicks,introduction_weiter.timesOn,introduction_weiter.timesOff,age,gender,natlang1,natlang2,natlang3,natlang4,natlang5,natlang6,lang1,proficiency1,lang2,proficiency2,lang3,proficiency3,lang4,proficiency4,lang5,proficiency5,lang6,proficiency6,lang7,proficiency7,lang8,proficiency8,country,education,dyslexia,mobility,currentloc,radio-for-required-checkboxes,sensorypref1,xRes,yRes,sensorypref[],sensorypref2,sensorypref3,sensorypref4,practice_weiter.numClicks,practice_weiter.timesOn,practice_weiter.timesOff,pr_message_weiter.numClicks,pr_message_weiter.timesOn,pr_message_weiter.timesOff,pr_remember_weiter.numClicks,pr_remember_weiter.timesOn,pr_remember_weiter.timesOff,button_weiter.numClicks,button_weiter.timesOn,button_weiter.timesOff,pr_expressibility.response,pr_expressibility.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,pr_word,pr_question,pr_image,start_weiter.numClicks,start_weiter.timesOn,start_weiter.timesOff,message_weiter.numClicks,message_weiter.timesOn,message_weiter.timesOff,trial_remember_weiter.numClicks,trial_remember_weiter.timesOn,trial_remember_weiter.timesOff,Count,Shelf time,trial_button_weiter.numClicks,trial_button_weiter.timesOn,trial_button_weiter.timesOff,expressibility.response,expressibility.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,word,fordict,question,trial_img,problem,problem_text,end_experiment.numClicks,end_experiment.timesOn,end_experiment.timesOff
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,75.0843,6.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.29949999999999477]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.2996000000238439]",-0.212962963,1.362,0.0,8.0,8.0,57.0,1.0,fruit,vfruit,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,77.6974,7.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.29949999999999477,0.29970000004769304]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.2996000000238439,0.2997999999523273]",0.012962963,2.2892,0.0,9.0,9.0,27.0,1.0,gezond,vgezond,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,79.2113,7.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.29949999999999477,0.29970000004769304]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.2996000000238439,0.2997999999523273]",,,0.0,10.0,10.0,148.0,1.0,bijten,vbijten,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,80.2344,8.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.29949999999999477,0.29970000004769304,0.31639999997615575]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.2996000000238439,0.2997999999523273,0.31639999997615575]",-0.483333333,1.4575,0.0,11.0,11.0,22.0,1.0,sommige,vsommige,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,81.7475,9.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.29949999999999477,0.29970000004769304,0.31639999997615575,0.28360000002383856]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.2996000000238439,0.2997999999523273,0.31639999997615575,0.28360000002383856]",-0.085185185,1.1529,0.0,12.0,12.0,131.0,1.0,zand,vzand,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,83.2835,10.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.29949999999999477,0.29970000004769304,0.31639999997615575,0.28360000002383856,0.26660000002384265]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.2996000000238439,0.2997999999523273,0.31639999997615575,0.28360000002383856,0.26660000002384265]",0.212962963,1.1874,0.0,13.0,13.0,71.0,1.0,geur,vgeur,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,84.8158,11.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.29949999999999477,0.29970000004769304,0.31639999997615575,0.28360000002383856,0.26660000002384265,0.2997000000476788]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.2996000000238439,0.2997999999523273,0.31639999997615575,0.28360000002383856,0.26660000002384265,0.2997000000476788]",-0.161111111,1.2266,0.0,14.0,14.0,141.0,1.0,dragen,vdragen,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,86.8113,12.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.29949999999999477,0.29970000004769304,0.31639999997615575,0.28360000002383856,0.26660000002384265,0.2997000000476788,0.3997999999523216]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.2996000000238439,0.2997999999523273,0.31639999997615575,0.28360000002383856,0.26660000002384265,0.2997000000476788,0.3997999999523216]",-0.462962963,1.7259,0.0,15.0,15.0,88.0,1.0,verzamelen,vverzamelen,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,88.5708,13.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.29949999999999477,0.29970000004769304,0.31639999997615575,0.28360000002383856,0.26660000002384265,0.2997000000476788,0.3997999999523216,0.3336000000238357]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.2996000000238439,0.2997999999523273,0.31639999997615575,0.28360000002383856,0.26660000002384265,0.2997000000476788,0.3997999999523216,0.3336000000238357]",0.062962963,1.5359,0.0,16.0,16.0,17.0,1.0,verschillend,vverschillend,question_vocal.png,im_mouth.png,,,,,
,,,1,3,2023-05-24_18h29.53.455,flesh_expressibility_dutch,2022.2.4,Win32,60.22645146,,,,18.0,1.0,test,,,,,,ss,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,NL,1.0,1.0,1.0,1.0,,sensorypref1,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,90.1944,14.0,"[0.24990000009536573,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.29949999999999477,0.29970000004769304,0.31639999997615575,0.28360000002383856,0.26660000002384265,0.2997000000476788,0.3997999999523216,0.3336000000238357,0.33369999992847]","[0.25,0.233400000095358,0.24989999997616508,0.7163999999761472,0.28330000007152023,0.2996000000238439,0.2997999999523273,0.31639999997615575,0.28360000002383856,0.26660000002384265,0.2997000000476788,0.3997999999523216,0.3336000000238357,0.33369999992847]",-0.214814815,1.1687,0.0,17.0,17.0,43.0,1.0,rivier,vrivier,question_vocal.png,im_mouth.png,,,,,
